begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange
3859;3873;73;1;alle sîne süne;Bertram von Berbester;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":14,"startOffset":0,"start":"3859","end":"3859"}];[{"endOffset":14,"startOffset":0,"start":"\/div[141]","end":"\/div[141]"}];38593874;
3859;3873;73;1;alle sîne süne;Gybert;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":14,"startOffset":0,"start":"3859","end":"3859"}];[{"endOffset":14,"startOffset":0,"start":"\/div[141]","end":"\/div[141]"}];38593875;
3859;3873;73;1;alle sîne süne;Buove;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":14,"startOffset":0,"start":"3859","end":"3859"}];[{"endOffset":14,"startOffset":0,"start":"\/div[141]","end":"\/div[141]"}];38593876;
3859;3873;73;1;alle sîne süne;Heimrîch der schetis;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":14,"startOffset":0,"start":"3859","end":"3859"}];[{"endOffset":14,"startOffset":0,"start":"\/div[141]","end":"\/div[141]"}];38593877;
3859;3873;73;1;alle sîne süne;Arnalt;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":14,"startOffset":0,"start":"3859","end":"3859"}];[{"endOffset":14,"startOffset":0,"start":"\/div[141]","end":"\/div[141]"}];38593878;
3859;3873;73;1;alle sîne süne;Bernart;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":14,"startOffset":0,"start":"3859","end":"3859"}];[{"endOffset":14,"startOffset":0,"start":"\/div[141]","end":"\/div[141]"}];38593879;
3951;3962;73;1;ein sîn man;# unbestimmt (einzel);null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":11,"startOffset":0,"start":"3951","end":"3951"}];[{"endOffset":11,"startOffset":0,"start":"\/div[144]","end":"\/div[144]"}];39513962;
4015;4023;73;1;des kint;# unbestimmt (einzel);null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":8,"startOffset":0,"start":"4015","end":"4015"}];[{"endOffset":8,"startOffset":0,"start":"\/div[146]","end":"\/div[146]"}];40154023;
4057;4074;73;1;den selben knaben;# unbestimmt (einzel);null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":29,"startOffset":12,"start":"4045","end":"4045"}];[{"endOffset":29,"startOffset":12,"start":"\/div[147]","end":"\/div[147]"}];40574074;
4116;4124;73;1;sîn süne;Heimrîch der schetis;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":15,"startOffset":7,"start":"4109","end":"4109"}];[{"endOffset":15,"startOffset":7,"start":"\/div[149]","end":"\/div[149]"}];41164124;
4116;4124;73;1;sîn süne;Willehalm;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":15,"startOffset":7,"start":"4109","end":"4109"}];[{"endOffset":15,"startOffset":7,"start":"\/div[149]","end":"\/div[149]"}];41164125;
4116;4124;73;1;sîn süne;Gybert;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":15,"startOffset":7,"start":"4109","end":"4109"}];[{"endOffset":15,"startOffset":7,"start":"\/div[149]","end":"\/div[149]"}];41164126;
4116;4124;73;1;sîn süne;Bertram von Berbester;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":15,"startOffset":7,"start":"4109","end":"4109"}];[{"endOffset":15,"startOffset":7,"start":"\/div[149]","end":"\/div[149]"}];41164127;
4116;4124;73;1;sîn süne;Bernart;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":15,"startOffset":7,"start":"4109","end":"4109"}];[{"endOffset":15,"startOffset":7,"start":"\/div[149]","end":"\/div[149]"}];41164128;
4116;4124;73;1;sîn süne;Buove;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":15,"startOffset":7,"start":"4109","end":"4109"}];[{"endOffset":15,"startOffset":7,"start":"\/div[149]","end":"\/div[149]"}];41164129;
4116;4124;73;1;sîn süne;Arnalt;null;0;0;0;R_WEG;5;null;["PER"];[{"endOffset":15,"startOffset":7,"start":"4109","end":"4109"}];[{"endOffset":15,"startOffset":7,"start":"\/div[149]","end":"\/div[149]"}];41164130;
4352;4386;73;1;den mander wol dienstes lônen kan;# unbestimmt (einzel);null;0;0;1;R_WEG;6;null;["PER","WVL"];[{"endOffset":26,"startOffset":21,"start":"4331","end":"4360"}];[{"endOffset":26,"startOffset":21,"start":"\/div[158]","end":"\/div[159]"}];43524386;
4500;4515;73;1;der keiser Karl;Karl;null;0;0;1;R_WEG;6;null;["PER"];[{"endOffset":15,"startOffset":0,"start":"4500","end":"4500"}];[{"endOffset":15,"startOffset":0,"start":"\/div[164]","end":"\/div[164]"}];45004515;
4794;4802;73;1;ir vater;Heimrîch von Narbon;null;0;0;0;R_WEG;6;null;["PER"];[{"endOffset":33,"startOffset":25,"start":"4769","end":"4769"}];[{"endOffset":33,"startOffset":25,"start":"\/div[173]","end":"\/div[173]"}];47944802;
4816;4825;73;1;die helde;Arnalt;null;1;0;0;R_WEG;6;null;["PER"];[{"endOffset":21,"startOffset":12,"start":"4804","end":"4804"}];[{"endOffset":21,"startOffset":12,"start":"\/div[174]","end":"\/div[174]"}];48164825;
4816;4825;73;1;die helde;Willehalm;null;1;0;0;R_WEG;6;null;["PER"];[{"endOffset":21,"startOffset":12,"start":"4804","end":"4804"}];[{"endOffset":21,"startOffset":12,"start":"\/div[174]","end":"\/div[174]"}];48164826;
4816;4825;73;1;die helde;Bernart;null;1;0;0;R_WEG;6;null;["PER"];[{"endOffset":21,"startOffset":12,"start":"4804","end":"4804"}];[{"endOffset":21,"startOffset":12,"start":"\/div[174]","end":"\/div[174]"}];48164827;
4816;4825;73;1;die helde;Bertram von Berbester;null;1;0;0;R_WEG;6;null;["PER"];[{"endOffset":21,"startOffset":12,"start":"4804","end":"4804"}];[{"endOffset":21,"startOffset":12,"start":"\/div[174]","end":"\/div[174]"}];48164828;
4816;4825;73;1;die helde;Gybert;null;1;0;0;R_WEG;6;null;["PER"];[{"endOffset":21,"startOffset":12,"start":"4804","end":"4804"}];[{"endOffset":21,"startOffset":12,"start":"\/div[174]","end":"\/div[174]"}];48164829;
4816;4825;73;1;die helde;Buove;null;1;0;0;R_WEG;6;null;["PER"];[{"endOffset":21,"startOffset":12,"start":"4804","end":"4804"}];[{"endOffset":21,"startOffset":12,"start":"\/div[174]","end":"\/div[174]"}];48164830;
4816;4825;73;1;die helde;Heimrîch der schetis;null;1;0;0;R_WEG;6;null;["PER"];[{"endOffset":21,"startOffset":12,"start":"4804","end":"4804"}];[{"endOffset":21,"startOffset":12,"start":"\/div[174]","end":"\/div[174]"}];48164831;
4877;4885;73;1;Gwillâms;Willehalm;null;0;0;0;R_WEG;6;null;["PER"];[{"endOffset":21,"startOffset":13,"start":"4864","end":"4864"}];[{"endOffset":21,"startOffset":13,"start":"\/div[176]","end":"\/div[176]"}];48774885;
4897;4905;73;1;Bertrams;Bertram von Berbester;null;0;0;0;R_WEG;6;null;["PER"];[{"endOffset":18,"startOffset":10,"start":"4887","end":"4887"}];[{"endOffset":18,"startOffset":10,"start":"\/div[177]","end":"\/div[177]"}];48974905;
4922;4961;73;1;sîn dritter sun,der clâre süeze Buovûn;Buove;null;0;0;0;R_WEG;6;null;["PER"];[{"endOffset":22,"startOffset":15,"start":"4907","end":"4939"}];[{"endOffset":22,"startOffset":15,"start":"\/div[178]","end":"\/div[179]"}];49224961;
4963;4972;73;1;Heimrîch;Heimrîch der schetis;null;0;0;0;R_WEG;6;null;["PER"];[{"endOffset":9,"startOffset":0,"start":"4963","end":"4963"}];[{"endOffset":9,"startOffset":0,"start":"\/div[180]","end":"\/div[180]"}];49634972;
5018;5024;73;1;Arnalt;Arnalt;null;0;0;0;R_WEG;6;null;["PER"];[{"endOffset":6,"startOffset":0,"start":"5018","end":"5018"}];[{"endOffset":6,"startOffset":0,"start":"\/div[182]","end":"\/div[182]"}];50185024;
5029;5036;73;1;Bernart;Bernart;null;0;0;0;R_WEG;6;null;["PER"];[{"endOffset":18,"startOffset":11,"start":"5018","end":"5018"}];[{"endOffset":18,"startOffset":11,"start":"\/div[182]","end":"\/div[182]"}];50295036;
5089;5095;73;1;Gybert;Gybert;null;0;0;0;R_WEG;6;null;["PER"];[{"endOffset":27,"startOffset":21,"start":"5068","end":"5068"}];[{"endOffset":27,"startOffset":21,"start":"\/div[184]","end":"\/div[184]"}];50895095;
5365;5375;73;1;den helden;Heimrîch der schetis;null;1;0;0;-;7;null;["PER"];[{"endOffset":15,"startOffset":5,"start":"5360","end":"5360"}];[{"endOffset":15,"startOffset":5,"start":"\/div[195]","end":"\/div[195]"}];53655375;
5365;5375;73;1;den helden;Willehalm;null;1;0;0;-;7;null;["PER"];[{"endOffset":15,"startOffset":5,"start":"5360","end":"5360"}];[{"endOffset":15,"startOffset":5,"start":"\/div[195]","end":"\/div[195]"}];53655376;
5365;5375;73;1;den helden;Bernart;null;1;0;0;-;7;null;["PER"];[{"endOffset":15,"startOffset":5,"start":"5360","end":"5360"}];[{"endOffset":15,"startOffset":5,"start":"\/div[195]","end":"\/div[195]"}];53655377;
5365;5375;73;1;den helden;Bertram von Berbester;null;1;0;0;-;7;null;["PER"];[{"endOffset":15,"startOffset":5,"start":"5360","end":"5360"}];[{"endOffset":15,"startOffset":5,"start":"\/div[195]","end":"\/div[195]"}];53655378;
5365;5375;73;1;den helden;Buove;null;1;0;0;-;7;null;["PER"];[{"endOffset":15,"startOffset":5,"start":"5360","end":"5360"}];[{"endOffset":15,"startOffset":5,"start":"\/div[195]","end":"\/div[195]"}];53655379;
5365;5375;73;1;den helden;Gybert;null;1;0;0;-;7;null;["PER"];[{"endOffset":15,"startOffset":5,"start":"5360","end":"5360"}];[{"endOffset":15,"startOffset":5,"start":"\/div[195]","end":"\/div[195]"}];53655380;
5365;5375;73;1;den helden;Arnalt;null;1;0;0;-;7;null;["PER"];[{"endOffset":15,"startOffset":5,"start":"5360","end":"5360"}];[{"endOffset":15,"startOffset":5,"start":"\/div[195]","end":"\/div[195]"}];53655381;
5538;5545;73;1;Willalm;Willehalm;null;1;0;0;-;7;null;["PER"];[{"endOffset":7,"startOffset":0,"start":"5538","end":"5538"}];[{"endOffset":7,"startOffset":0,"start":"\/div[201]","end":"\/div[201]"}];55385545;
5592;5602;73;1;sîns vater;Heimrîch von Narbon;null;1;0;0;-;7;null;["PER"];[{"endOffset":13,"startOffset":3,"start":"5589","end":"5589"}];[{"endOffset":13,"startOffset":3,"start":"\/div[203]","end":"\/div[203]"}];55925602;
5687;5698;73;1;sînem toten;# unbestimmt (einzel);null;1;0;0;-;7;null;["PER"];[{"endOffset":14,"startOffset":3,"start":"5684","end":"5684"}];[{"endOffset":14,"startOffset":3,"start":"\/div[207]","end":"\/div[207]"}];56875698;
5699;5707;73;1;Heimrîch;Heimrîch von Narbon;null;1;0;0;-;7;null;["PER"];[{"endOffset":23,"startOffset":15,"start":"5684","end":"5684"}];[{"endOffset":23,"startOffset":15,"start":"\/div[207]","end":"\/div[207]"}];56995707;
5870;5877;73;1;Arabeln;Gyburc/Arabel;null;0;1;0;-;7;null;["PER"];[{"endOffset":7,"startOffset":0,"start":"5870","end":"5870"}];[{"endOffset":7,"startOffset":0,"start":"\/div[213]","end":"\/div[213]"}];58705877;
5878;5885;73;1;Willalm;Willehalm;null;0;1;0;-;7;null;["PER"];[{"endOffset":15,"startOffset":8,"start":"5870","end":"5870"}];[{"endOffset":15,"startOffset":8,"start":"\/div[213]","end":"\/div[213]"}];58785885;
5903;5918;73;1;unschuldic volc;Christen (Kollektiv);null;0;1;0;-;7;null;["PER"];[{"endOffset":24,"startOffset":9,"start":"5894","end":"5894"}];[{"endOffset":24,"startOffset":9,"start":"\/div[214]","end":"\/div[214]"}];59035918;
5903;5918;73;1;unschuldic volc;Heiden (Kollektiv);null;0;1;0;-;7;null;["PER"];[{"endOffset":24,"startOffset":9,"start":"5894","end":"5894"}];[{"endOffset":24,"startOffset":9,"start":"\/div[214]","end":"\/div[214]"}];59035919;
5962;5968;73;1;Gyburc;Gyburc/Arabel;null;0;0;0;R_WEG;7;null;["PER"];[{"endOffset":6,"startOffset":0,"start":"5962","end":"5962"}];[{"endOffset":6,"startOffset":0,"start":"\/div[216]","end":"\/div[216]"}];59625968;
6020;6044;73;1;ir man, der künec Tybalt;Tybalt;null;0;0;0;R_WEG;8;null;["PER"];[{"endOffset":24,"startOffset":0,"start":"6020","end":"6020"}];[{"endOffset":24,"startOffset":0,"start":"\/div[219]","end":"\/div[219]"}];60206044;
6548;6562;73;1;der Franzoyser;Christen (Kollektiv);null;0;0;0;R_WEG;8;null;["PER"];[{"endOffset":14,"startOffset":0,"start":"6548","end":"6548"}];[{"endOffset":14,"startOffset":0,"start":"\/div[238]","end":"\/div[238]"}];65486562;
6570;6587;73;1;der heidenschefte;Heiden (Kollektiv);null;0;0;0;R_WEG;8;null;["PER"];[{"endOffset":17,"startOffset":0,"start":"6570","end":"6570"}];[{"endOffset":17,"startOffset":0,"start":"\/div[239]","end":"\/div[239]"}];65706587;
6625;6645;73;1;der marcgrâf Willalm;Willehalm;null;0;0;0;R_WEG;8;null;["PER"];[{"endOffset":20,"startOffset":0,"start":"6625","end":"6625"}];[{"endOffset":20,"startOffset":0,"start":"\/div[241]","end":"\/div[241]"}];66256645;
6745;6758;73;1;den getouften;Christen (Kollektiv);null;0;0;0;R_LHE;8;null;["PER"];[{"endOffset":13,"startOffset":0,"start":"6745","end":"6745"}];[{"endOffset":13,"startOffset":0,"start":"\/div[245]","end":"\/div[245]"}];67456758;
6763;6773;73;1;den heiden;Heiden (Kollektiv);null;0;0;0;R_LHE;8;null;["PER"];[{"endOffset":28,"startOffset":18,"start":"6745","end":"6745"}];[{"endOffset":28,"startOffset":18,"start":"\/div[245]","end":"\/div[245]"}];67636773;
6784;6792;73;1;des hers;Heiden (Kollektiv);null;0;0;0;R_LHE;8;null;["PER"];[{"endOffset":17,"startOffset":9,"start":"6775","end":"6775"}];[{"endOffset":17,"startOffset":9,"start":"\/div[246]","end":"\/div[246]"}];67846792;
6813;6831;73;1;der künec Terramêr;Terramer;null;0;0;0;R_WEG;8;null;["PER"];[{"endOffset":29,"startOffset":11,"start":"6802","end":"6802"}];[{"endOffset":29,"startOffset":11,"start":"\/div[247]","end":"\/div[247]"}];68136831;
7005;7017;73;1;mâge und man;Heiden (Kollektiv);null;1;0;0;R_LHE;9;null;["PER"];[{"endOffset":12,"startOffset":0,"start":"7005","end":"7005"}];[{"endOffset":12,"startOffset":0,"start":"\/div[255]","end":"\/div[255]"}];70057017;
7034;7060;73;1;sîme liebsten got Mahmeten;Götter (heidnisch);null;0;0;0;R_LHE;9;null;["PER","WVL"];[{"endOffset":26,"startOffset":0,"start":"7034","end":"7034"}];[{"endOffset":26,"startOffset":0,"start":"\/div[256]","end":"\/div[256]"}];70347060;
7065;7083;73;1;andern goten sînen;Götter (heidnisch);null;0;0;0;R_LHE;9;null;["PER","WVL"];[{"endOffset":22,"startOffset":4,"start":"7061","end":"7061"}];[{"endOffset":22,"startOffset":4,"start":"\/div[257]","end":"\/div[257]"}];70657083;
7167;7272;73;1;Arabeln, diu sich Gyburcnande, und diu mit toufe kurcwas manegen ougen wordendurch kristenlîchen orden;Gyburc/Arabel;null;0;0;0;R_LHE;9;null;["PER"];[{"endOffset":25,"startOffset":4,"start":"7163","end":"7247"}];[{"endOffset":25,"startOffset":4,"start":"\/div[261]","end":"\/div[264]"}];71677272;
7274;7292;73;1;diu edel küneginne;Gyburc/Arabel;null;0;0;0;R_LHE;9;null;["PER"];[{"endOffset":18,"startOffset":0,"start":"7274","end":"7274"}];[{"endOffset":18,"startOffset":0,"start":"\/div[265]","end":"\/div[265]"}];72747292;
7300;7316;73;1;liebes vriwendes;Willehalm;null;0;0;0;R_LHE;9;null;["PER"];[{"endOffset":22,"startOffset":6,"start":"7294","end":"7294"}];[{"endOffset":22,"startOffset":6,"start":"\/div[266]","end":"\/div[266]"}];73007316;
7343;7360;73;1;der hoehsten hant;Gott (christlich);null;0;0;0;R_LHE;9;null;["PER"];[{"endOffset":37,"startOffset":20,"start":"7323","end":"7323"}];[{"endOffset":37,"startOffset":20,"start":"\/div[267]","end":"\/div[267]"}];73437360;
7393;7401;73;1;Terramêr;Terramer;null;0;0;0;R_LHE;9;null;["PER"];[{"endOffset":8,"startOffset":0,"start":"7393","end":"7393"}];[{"endOffset":8,"startOffset":0,"start":"\/div[269]","end":"\/div[269]"}];73937401;
7406;7413;73;1;ir vatr;Terramer;null;0;0;0;R_LHE;9;null;["PER"];[{"endOffset":20,"startOffset":13,"start":"7393","end":"7393"}];[{"endOffset":20,"startOffset":13,"start":"\/div[269]","end":"\/div[269]"}];74067413;
7415;7436;73;1;Arofeln sînen bruoder;Arofel;null;0;0;0;R_LHE;9;null;["PER"];[{"endOffset":21,"startOffset":0,"start":"7415","end":"7415"}];[{"endOffset":21,"startOffset":0,"start":"\/div[270]","end":"\/div[270]"}];74157436;
7447;7468;73;1;den starken Halzebier;Halzebier;null;0;0;0;R_LHE;9;null;["PER"];[{"endOffset":25,"startOffset":4,"start":"7443","end":"7443"}];[{"endOffset":25,"startOffset":4,"start":"\/div[271]","end":"\/div[271]"}];74477468;
7538;7547;73;1;Terramêrs;Terramer;null;0;0;0;R_LHE;9;null;["PER"];[{"endOffset":9,"startOffset":0,"start":"7538","end":"7538"}];[{"endOffset":9,"startOffset":0,"start":"\/div[275]","end":"\/div[275]"}];75387547;
7592;7603;73;1;ander künge;# unbestimmt (multi);null;0;0;0;R_LHE;9;null;["PER","WVL"];[{"endOffset":19,"startOffset":8,"start":"7584","end":"7584"}];[{"endOffset":19,"startOffset":8,"start":"\/div[277]","end":"\/div[277]"}];75927603;
7695;7719;73;1;die vürsten ûz sîm rîche;Heiden (Kollektiv);null;0;0;0;R_LHE;10;null;["PER"];[{"endOffset":24,"startOffset":0,"start":"7695","end":"7695"}];[{"endOffset":24,"startOffset":0,"start":"\/div[282]","end":"\/div[282]"}];76957719;
7799;7822;73;1;vil manec werlîcher man;Heiden (Kollektiv);null;0;0;0;R_LHE;10;null;["PER","WVL"];[{"endOffset":23,"startOffset":0,"start":"7799","end":"7799"}];[{"endOffset":23,"startOffset":0,"start":"\/div[286]","end":"\/div[286]"}];77997822;
7850;7870;73;1;der werden Sarrazîne;Heiden (Kollektiv);null;0;0;0;R_LHE;10;null;["PER"];[{"endOffset":20,"startOffset":0,"start":"7850","end":"7850"}];[{"endOffset":20,"startOffset":0,"start":"\/div[288]","end":"\/div[288]"}];78507870;
7972;7982;73;1;den werden;Heiden (Kollektiv);null;0;0;0;R_WEG;10;null;["PER"];[{"endOffset":28,"startOffset":18,"start":"7954","end":"7954"}];[{"endOffset":28,"startOffset":18,"start":"\/div[292]","end":"\/div[292]"}];79727982;
8018;8034;73;1;den künec Tybalt;Tybalt;null;0;0;0;R_WEG;10;null;["PER"];[{"endOffset":22,"startOffset":6,"start":"8012","end":"8012"}];[{"endOffset":22,"startOffset":6,"start":"\/div[294]","end":"\/div[294]"}];80188034;
8036;8059;73;1;des manec getoufter man;Christen (Kollektiv);null;0;0;0;-;10;null;["PER","WVL"];[{"endOffset":23,"startOffset":0,"start":"8036","end":"8036"}];[{"endOffset":23,"startOffset":0,"start":"\/div[295]","end":"\/div[295]"}];80368059;
8501;8521;73;1;des künec Terramêres;null;overlap;0;0;0;R_ALI;11;null;["PER"];[{"endOffset":20,"startOffset":0,"start":"8501","end":"8501"}];[{"endOffset":20,"startOffset":0,"start":"\/div[312]","end":"\/div[312]"}];85018521;
8501;8525;73;1;des künec Terramêres her;Heiden (Kollektiv);overlap_max;0;0;0;R_ALI;11;null;["PER"];[{"endOffset":24,"startOffset":0,"start":"8501","end":"8501"}];[{"endOffset":24,"startOffset":0,"start":"\/div[312]","end":"\/div[312]"}];85018525;
8530;8547;73;1;die Willalms mâge;Christen (Kollektiv);overlap_max;0;0;0;R_ALI;11;null;["PER"];[{"endOffset":21,"startOffset":4,"start":"8526","end":"8526"}];[{"endOffset":21,"startOffset":4,"start":"\/div[313]","end":"\/div[313]"}];85308547;
8534;8543;73;1;Willalms;null;overlap;0;0;0;R_ALI;11;null;["PER"];[{"endOffset":17,"startOffset":8,"start":"8526","end":"8526"}];[{"endOffset":17,"startOffset":8,"start":"\/div[313]","end":"\/div[313]"}];85348543;
8627;8651;73;1;dem werden künege Tybalt;Tybalt;null;0;0;0;R_ALI;11;null;["PER"];[{"endOffset":24,"startOffset":0,"start":"8627","end":"8627"}];[{"endOffset":24,"startOffset":0,"start":"\/div[317]","end":"\/div[317]"}];86278651;
8792;8811;73;1;sîn sweher Terramêr;Terramer;null;0;0;0;R_ALI;11;null;["PER"];[{"endOffset":27,"startOffset":8,"start":"8784","end":"8784"}];[{"endOffset":27,"startOffset":8,"start":"\/div[323]","end":"\/div[323]"}];87928811;
8822;8839;73;1;manegen künec hêr;Heiden (Kollektiv);null;0;0;0;R_ALI;11;null;["PER"];[{"endOffset":27,"startOffset":10,"start":"8812","end":"8812"}];[{"endOffset":27,"startOffset":10,"start":"\/div[324]","end":"\/div[324]"}];88228839;
