begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
809;812;53;1;got;#Gott;null;0;0;1;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":4,""startOffset"":1,""start"":808,""end"":808}]";"[{""endOffset"":4,""startOffset"":1,""start"":""\/div[32]"",""end"":""\/div[32]""}]";8098120
826;833;53;1;geselle;Maliclisier;overlap_max;0;0;1;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":25,""startOffset"":18,""start"":""808"",""end"":""808""}]";"[{""endOffset"":25,""startOffset"":18,""start"":""\/div[32]"",""end"":""\/div[32]""}]";8268330
826;833;53;1;geselle;Maliclisier;overlap;0;0;1;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":25,""startOffset"":18,""start"":""808"",""end"":""808""}]";"[{""endOffset"":25,""startOffset"":18,""start"":""\/div[32]"",""end"":""\/div[32]""}]";8268331
863;873;53;1;mîn vrouwe;Ginovêr;null;0;0;1;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":0,""start"":863,""end"":863}]";"[{""endOffset"":10,""startOffset"":0,""start"":""\/div[34]"",""end"":""\/div[34]""}]";8638730
1005;1015;53;1;der ritter;Idêrs;null;0;0;1;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":14,""startOffset"":4,""start"":""1001"",""end"":""1001""}]";"[{""endOffset"":14,""startOffset"":4,""start"":""\/div[39]"",""end"":""\/div[39]""}]";10060150
1026;1048;53;1;disiu maget;# unbestimmt (einzel);null;0;0;1;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":1048,""startOffset"":1026,""start"":0,""end"":0}]";"[{""endOffset"":15,""startOffset"":4,""start"":""\/div[40]"",""end"":""\/div[40]""}]";10270480
1106;1116;53;1;mîn vrouwe;Ginovêr;null;0;0;1;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":0,""start"":""1106"",""end"":""1106""}]";"[{""endOffset"":10,""startOffset"":0,""start"":""\/div[44]"",""end"":""\/div[44]""}]";11071160
1141;1152;53;1;daz getwerc;Maliclisier;overlap_max;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":11,""startOffset"":0,""start"":""1141"",""end"":""1141""}]";"[{""endOffset"":11,""startOffset"":0,""start"":""\/div[45]"",""end"":""\/div[45]""}]";11421520
1141;1152;53;1;daz getwerc;Maliclisier;overlap;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":11,""startOffset"":0,""start"":""1141"",""end"":""1141""}]";"[{""endOffset"":11,""startOffset"":0,""start"":""\/div[45]"",""end"":""\/div[45]""}]";11421521
1255;1264;53;1;diu maget;# unbestimmt (einzel);null;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":9,""startOffset"":0,""start"":1255,""end"":1255}]";"[{""endOffset"":9,""startOffset"":0,""start"":""\/div[49]"",""end"":""\/div[49]""}]";12562640
1310;1320;53;1;den ritter;Idêrs;null;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":0,""start"":1310,""end"":1310}]";"[{""endOffset"":10,""startOffset"":0,""start"":""\/div[51]"",""end"":""\/div[51]""}]";13113200
1355;1366;53;1;daz getwerc;Maliclisier;overlap_max;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":11,""startOffset"":0,""start"":""1355"",""end"":""1355""}]";"[{""endOffset"":11,""startOffset"":0,""start"":""\/div[53]"",""end"":""\/div[53]""}]";13563660
1355;1366;53;1;daz getwerc;Maliclisier;overlap;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":11,""startOffset"":0,""start"":""1355"",""end"":""1355""}]";"[{""endOffset"":11,""startOffset"":0,""start"":""\/div[53]"",""end"":""\/div[53]""}]";13563661
1394;1405;53;1;diu künegîn;Ginovêr;null;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":20,""startOffset"":9,""start"":1385,""end"":1385}]";"[{""endOffset"":20,""startOffset"":9,""start"":""\/div[54]"",""end"":""\/div[54]""}]";13954050
1410;1414;53;1;Êrec;Erec;null;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":29,""startOffset"":25,""start"":1385,""end"":1385}]";"[{""endOffset"":29,""startOffset"":25,""start"":""\/div[54]"",""end"":""\/div[54]""}]";14114140
1588;1598;53;1;ir vrouwen;Ginovêr;null;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":20,""startOffset"":10,""start"":1578,""end"":1578}]";"[{""endOffset"":20,""startOffset"":10,""start"":""\/div[61]"",""end"":""\/div[61]""}]";15895980
1736;1740;53;1;Êrec;Erec;null;0;0;0;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":4,""startOffset"":0,""start"":1736,""end"":1736}]";"[{""endOffset"":4,""startOffset"":0,""start"":""\/div[67]"",""end"":""\/div[67]""}]";17377400
1757;1767;53;1;der ritter;Idêrs;null;0;0;0;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":0,""start"":1757,""end"":1757}]";"[{""endOffset"":10,""startOffset"":0,""start"":""\/div[68]"",""end"":""\/div[68]""}]";17587670
1823;1834;53;1;sîn getwerc;Maliclisier;overlap_max;0;0;0;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":4,""start"":""1819"",""end"":""1819""}]";"[{""endOffset"":15,""startOffset"":4,""start"":""\/div[70]"",""end"":""\/div[70]""}]";18248340
1823;1834;53;1;sîn getwerc;Maliclisier;overlap;0;0;0;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":4,""start"":""1819"",""end"":""1819""}]";"[{""endOffset"":15,""startOffset"":4,""start"":""\/div[70]"",""end"":""\/div[70]""}]";18248341
1835;1844;53;1;die maget;# unbestimmt (einzel);overlap_max;0;0;0;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":25,""startOffset"":16,""start"":""1819"",""end"":""1819""}]";"[{""endOffset"":25,""startOffset"":16,""start"":""\/div[70]"",""end"":""\/div[70]""}]";18368440
1835;1844;53;1;die maget;# unbestimmt (einzel);overlap;0;0;0;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":25,""startOffset"":16,""start"":""1819"",""end"":""1819""}]";"[{""endOffset"":25,""startOffset"":16,""start"":""\/div[70]"",""end"":""\/div[70]""}]";18368441
1912;1922;53;1;diu vrouwe;Ginovêr;null;0;0;0;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":0,""start"":1912,""end"":1912}]";"[{""endOffset"":10,""startOffset"":0,""start"":""\/div[73]"",""end"":""\/div[73]""}]";19139220
1964;1968;53;1;Êrec;Erec;null;0;0;0;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":21,""startOffset"":17,""start"":1947,""end"":1947}]";"[{""endOffset"":21,""startOffset"":17,""start"":""\/div[74]"",""end"":""\/div[74]""}]";19659680
1997;2008;53;1;daz getwerc;Maliclisier;null;0;0;0;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":4,""start"":1993,""end"":1993}]";"[{""endOffset"":15,""startOffset"":4,""start"":""\/div[76]"",""end"":""\/div[76]""}]";19990080
2069;2078;53;1;die maget;# unbestimmt (einzel);overlap_max;0;0;1;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":21,""startOffset"":12,""start"":""2057"",""end"":""2057""}]";"[{""endOffset"":21,""startOffset"":12,""start"":""\/div[78]"",""end"":""\/div[78]""}]";20710780
2069;2078;53;1;die maget;# unbestimmt (einzel);overlap;0;0;1;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":21,""startOffset"":12,""start"":""2057"",""end"":""2057""}]";"[{""endOffset"":21,""startOffset"":12,""start"":""\/div[78]"",""end"":""\/div[78]""}]";20710781
2141;2153;53;1;iwern hêrren;Idêrs;null;0;0;1;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":12,""startOffset"":0,""start"":""2141"",""end"":""2141""}]";"[{""endOffset"":12,""startOffset"":0,""start"":""\/div[81]"",""end"":""\/div[81]""}]";21431530
2174;2184;53;1;mîn vrouwe;Ginovêr;null;0;0;1;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":0,""start"":2174,""end"":2174}]";"[{""endOffset"":10,""startOffset"":0,""start"":""\/div[83]"",""end"":""\/div[83]""}]";21761840
2207;2226;53;1;daz schoene magedîn;# unbestimmt (einzel);overlap_max;0;0;1;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":23,""startOffset"":4,""start"":""2203"",""end"":""2203""}]";"[{""endOffset"":23,""startOffset"":4,""start"":""\/div[84]"",""end"":""\/div[84]""}]";22092260
2207;2226;53;1;daz schoene magedîn;# unbestimmt (einzel);overlap;0;0;1;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":23,""startOffset"":4,""start"":""2203"",""end"":""2203""}]";"[{""endOffset"":23,""startOffset"":4,""start"":""\/div[84]"",""end"":""\/div[84]""}]";22092261
