begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
6035;6051;6;1;sehzehen knappen;# unbestimmt (multi);null;0;0;1;R_HOF;8;null;"[""PER""]";"[{""endOffset"":17,""startOffset"":1,""start"":6034,""end"":6034}]";"[{""endOffset"":17,""startOffset"":1,""start"":""\/div[219]"",""end"":""\/div[219]""}]";60356051
6103;6129;6;1;vier kint, mit guoter zuht;null;overlap;0;0;1;R_HOF;8;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":17,""start"":6086,""end"":6114}]";"[{""endOffset"":15,""startOffset"":17,""start"":""\/div[221]"",""end"":""\/div[222]""}]";61036129
6103;6144;6;1;vier kint,mit guoter zuht, von hôher art;# unbestimmt (multi);overlap_max;0;0;1;R_HOF;8;null;"[""PER""]";"[{""endOffset"":30,""startOffset"":17,""start"":""6086"",""end"":""6114""}]";"[{""endOffset"":30,""startOffset"":17,""start"":""\/div[221]"",""end"":""\/div[222]""}]";61036144
6454;6457;6;1;got;Gott;null;0;0;1;R_HOF;8;null;"[""PER""]";"[{""endOffset"":3,""startOffset"":0,""start"":6454,""end"":6454}]";"[{""endOffset"":3,""startOffset"":0,""start"":""\/div[233]"",""end"":""\/div[233]""}]";64546457
6535;6553;6;1;Gandîn;Gandîn;null;0;0;1;R_HOF;8;null;"[""PER""]";"[{""endOffset"":6553,""startOffset"":6535,""start"":0,""end"":0}]";"[{""endOffset"":18,""startOffset"":12,""start"":""\/div[236]"",""end"":""\/div[236]""}]";65356553
6757;6766;6;1;der künec;Gâlôes;null;0;0;0;R_HOF;8;null;"[""PER""]";"[{""endOffset"":9,""startOffset"":0,""start"":6757,""end"":6757}]";"[{""endOffset"":9,""startOffset"":0,""start"":""\/div[244]"",""end"":""\/div[244]""}]";67576766
6910;6919;6;1;mîn vater;Gandîn;null;0;0;1;R_HOF;9;null;"[""PER""]";"[{""endOffset"":9,""startOffset"":0,""start"":6910,""end"":6910}]";"[{""endOffset"":9,""startOffset"":0,""start"":""\/div[250]"",""end"":""\/div[250]""}]";69106919
7325;7336;6;1;mîn bruoder;Gahmuret;null;0;0;1;R_HOF;9;null;"[""PER""]";"[{""endOffset"":19,""startOffset"":8,""start"":7317,""end"":7317}]";"[{""endOffset"":19,""startOffset"":8,""start"":""\/div[264]"",""end"":""\/div[264]""}]";73257336
7351;7356;6;1;hêrre;Gâlôes;null;0;0;1;R_HOF;9;null;"[""PER""]";"[{""endOffset"":6,""startOffset"":1,""start"":7350,""end"":7350}]";"[{""endOffset"":6,""startOffset"":1,""start"":""\/div[265]"",""end"":""\/div[265]""}]";73517356
7449;7463;6;1;diu muoter mîn;Schôette;null;0;0;1;R_HOF;9;null;"[""PER""]";"[{""endOffset"":26,""startOffset"":12,""start"":7437,""end"":7437}]";"[{""endOffset"":26,""startOffset"":12,""start"":""\/div[268]"",""end"":""\/div[268]""}]";74497463
