begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
2721;2732;64;1;Kâlogrenant, der ;Kâlogrenant;null;0;0;0;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":2732,""startOffset"":2721,""start"":0,""end"":0}]";"[{""endOffset"":4,""startOffset"":12,""start"":""\/div[107]"",""end"":""\/div[108]""}]";27212732
2813;2817;64;1;Keiî sîn ;Keiî;null;0;0;0;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":2817,""startOffset"":2813,""start"":0,""end"":0}]";"[{""endOffset"":4,""startOffset"":17,""start"":""\/div[110]"",""end"":""\/div[111]""}]";28132817
2845;2855;64;1;des mannes;Kâlogrenant;null;0;0;0;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":17,""startOffset"":7,""start"":2838,""end"":2838}]";"[{""endOffset"":17,""startOffset"":7,""start"":""\/div[112]"",""end"":""\/div[112]""}]";28452855
2930;2945;64;1;Kâlogrenant;Kâlogrenant;null;0;0;1;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":2945,""startOffset"":2930,""start"":0,""end"":0}]";"[{""endOffset"":26,""startOffset"":15,""start"":""\/div[115]"",""end"":""\/div[115]""}]";29302945
3087;3108;64;1;allen iuwern gesellen;# unbestimmt (multi) ;null;0;0;1;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":25,""startOffset"":4,""start"":""3083"",""end"":""3083""}]";"[{""endOffset"":25,""startOffset"":4,""start"":""\/div[121]"",""end"":""\/div[121]""}]";30873108
3174;3184;64;1;mîn vrouwe;Ginover;null;0;0;1;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":20,""startOffset"":10,""start"":3164,""end"":3164}]";"[{""endOffset"":20,""startOffset"":10,""start"":""\/div[125]"",""end"":""\/div[125]""}]";31743184
3372;3383;64;1;die künegîn;Ginover;null;0;0;1;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":17,""startOffset"":6,""start"":3366,""end"":3366}]";"[{""endOffset"":17,""startOffset"":6,""start"":""\/div[132]"",""end"":""\/div[132]""}]";33723383
3575;3586;64;1;diu künegîn;Ginover;null;0;0;0;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":26,""startOffset"":15,""start"":3560,""end"":3560}]";"[{""endOffset"":26,""startOffset"":15,""start"":""\/div[139]"",""end"":""\/div[139]""}]";35753586
3599;3603;64;1;Keiî;Keiî;null;0;0;1;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":11,""start"":3588,""end"":3588}]";"[{""endOffset"":15,""startOffset"":11,""start"":""\/div[140]"",""end"":""\/div[140]""}]";35993603
4134;4137;64;1;got;# Gott;null;0;0;1;R_HOFART;6;null;"[""PER""]";"[{""endOffset"":23,""startOffset"":20,""start"":4114,""end"":4114}]";"[{""endOffset"":23,""startOffset"":20,""start"":""\/div[158]"",""end"":""\/div[158]""}]";41344137
4237;4241;64;1;Keiî;Keiî;null;0;0;0;R_HOFART;6;null;"[""PER""]";"[{""endOffset"":4,""startOffset"":0,""start"":4237,""end"":4237}]";"[{""endOffset"":4,""startOffset"":0,""start"":""\/div[162]"",""end"":""\/div[162]""}]";42374241
4277;4283;64;1;vrouwe;Ginover;null;0;0;1;R_HOFART;6;null;"[""PER""]";"[{""endOffset"":17,""startOffset"":11,""start"":4266,""end"":4266}]";"[{""endOffset"":17,""startOffset"":11,""start"":""\/div[163]"",""end"":""\/div[163]""}]";42774283
4773;4779;64;1;vrouwe;Ginover;null;0;0;1;R_HOFART;6;null;"[""PER""]";"[{""endOffset"":6,""startOffset"":0,""start"":4773,""end"":4773}]";"[{""endOffset"":6,""startOffset"":0,""start"":""\/div[181]"",""end"":""\/div[181]""}]";47734779
5123;5134;64;1;Kâlogrenant;Kâlogrenant;null;0;0;0;R_HOFART;7;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":13,""start"":5110,""end"":5110}]";"[{""endOffset"":24,""startOffset"":13,""start"":""\/div[193]"",""end"":""\/div[193]""}]";51235134
5958;5968;64;1;vrouwe;Ginover;null;0;0;1;R_HOFART;8;null;"[""PER""]";"[{""endOffset"":5968,""startOffset"":5958,""start"":0,""end"":0}]";"[{""endOffset"":10,""startOffset"":4,""start"":""\/div[225]"",""end"":""\/div[225]""}]";59585968
6030;6044;64;1;Keiî;Keiî;null;0;0;0;R_HOFART;8;null;"[""PER""]";"[{""endOffset"":6044,""startOffset"":6030,""start"":0,""end"":0}]";"[{""endOffset"":24,""startOffset"":20,""start"":""\/div[227]"",""end"":""\/div[227]""}]";60306044
6057;6069;64;1;disen herren;Dodines;null;0;0;1;R_HOFART;8;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":12,""start"":""6045"",""end"":""6045""}]";"[{""endOffset"":24,""startOffset"":12,""start"":""\/div[228]"",""end"":""\/div[228]""}]";60576069
6057;6069;64;1;disen herren;Segremors;null;0;0;1;R_HOFART;8;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":12,""start"":""6045"",""end"":""6045""}]";"[{""endOffset"":24,""startOffset"":12,""start"":""\/div[228]"",""end"":""\/div[228]""}]";60576069
