begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange
1303;1323;97;1;den engel uon himele;Engel (christlich);overlap_max;0;0;0;R_AAC;2;null;["PER"];[{"endOffset":20,"startOffset":0,"start":"1303","end":"1303"}];[{"endOffset":20,"startOffset":0,"start":"\/div[54]","end":"\/div[54]"}];13031323;
1338;1349;97;1;dem kuninge;Karl;null;0;0;0;R_AAC;2;null;["PER"];[{"endOffset":24,"startOffset":13,"start":"1325","end":"1325"}];[{"endOffset":24,"startOffset":13,"start":"\/div[55]","end":"\/div[55]"}];13381349;
1353;1375;97;1;Karl, gotes dinist man;Karl;overlap_max;0;0;1;R_AAC;2;null;["PER"];[{"endOffset":1375,"startOffset":1353,"start":0,"end":0}];[{"endOffset":6,"startOffset":2,"start":"\/div[56]","end":"\/div[56]"}];13531375;
1359;1364;97;1;gotes;null;overlap;0;0;1;R_AAC;2;null;["PER"];[{"endOffset":13,"startOffset":8,"start":1351,"end":1351}];[{"endOffset":13,"startOffset":8,"start":"\/div[56]","end":"\/div[56]"}];13591364;
1394;1397;97;1;got;Gott (christlich);null;0;0;1;R_AAC;2;null;["PER"];[{"endOffset":3,"startOffset":0,"start":1394,"end":1394}];[{"endOffset":3,"startOffset":0,"start":"\/div[58]","end":"\/div[58]"}];13941397;
1476;1487;97;1;des tuvelis;Teufel;null;0;0;1;R_AAC;2;null;["PER"];[{"endOffset":23,"startOffset":12,"start":"1464","end":"1464"}];[{"endOffset":23,"startOffset":12,"start":"\/div[61]","end":"\/div[61]"}];14761487;
1532;1541;97;1;der gotes;Gott (christlich);null;0;0;1;R_AAC;3;null;["PER"];[{"endOffset":20,"startOffset":11,"start":1521,"end":1521}];[{"endOffset":20,"startOffset":11,"start":"\/div[63]","end":"\/div[63]"}];15321541;
1600;1604;97;1;Karl;Karl;null;0;0;0;R_AAC;3;null;["PER"];[{"endOffset":4,"startOffset":0,"start":1600,"end":1600}];[{"endOffset":4,"startOffset":0,"start":"\/div[66]","end":"\/div[66]"}];16001604;
1667;1679;97;1;zwelf herren;zwölf Fürsten (Christen);null;0;0;0;R_AAC;3;null;["PER"];[{"endOffset":24,"startOffset":12,"start":"1655","end":"1655"}];[{"endOffset":24,"startOffset":12,"start":"\/div[68]","end":"\/div[68]"}];16671679;
1707;1718;97;1;sines heres;# Christen Kollektiv;null;0;0;0;R_AAC;3;null;["PER"];[{"endOffset":15,"startOffset":4,"start":1703,"end":1703}];[{"endOffset":15,"startOffset":4,"start":"\/div[70]","end":"\/div[70]"}];17071718;
1783;1795;97;1;des keiseres;Karl;null;0;0;0;R_AAC;3;null;["PER"];[{"endOffset":12,"startOffset":0,"start":"1783","end":"1783"}];[{"endOffset":12,"startOffset":0,"start":"\/div[73]","end":"\/div[73]"}];17831795;
1887;1897;97;1;der keiser;Karl;null;0;0;0;R_AAC;3;null;["PER"];[{"endOffset":10,"startOffset":0,"start":"1887","end":"1887"}];[{"endOffset":10,"startOffset":0,"start":"\/div[77]","end":"\/div[77]"}];18871897;
2029;2032;97;1;got;Gott (christlich);null;0;0;0;R_AAC;3;null;["PER"];[{"endOffset":12,"startOffset":9,"start":2020,"end":2020}];[{"endOffset":12,"startOffset":9,"start":"\/div[83]","end":"\/div[83]"}];20292032;
2085;2095;97;1;Der keiser;Karl;null;0;0;0;R_AAC;3;null;["PER"];[{"endOffset":10,"startOffset":0,"start":2085,"end":2085}];[{"endOffset":10,"startOffset":0,"start":"\/div[85]","end":"\/div[85]"}];20852095;
2130;2145;97;1;die haidenscaft;# Heiden Kollektiv;null;0;0;0;R_AAC;3;null;["PER"];[{"endOffset":15,"startOffset":0,"start":"2130","end":"2130"}];[{"endOffset":15,"startOffset":0,"start":"\/div[87]","end":"\/div[87]"}];21302145;
2159;2166;97;1;Cristin;# Christen Kollektiv;null;0;0;0;R_AAC;3;null;["PER"];[{"endOffset":10,"startOffset":3,"start":2156,"end":2156}];[{"endOffset":10,"startOffset":3,"start":"\/div[88]","end":"\/div[88]"}];21592166;
